time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1998-08-25T07:41:40.190Z,30.079,88.109,33,5.9,mwc,,,,0.99,us,usp0008tua,2020-09-15T20:18:21.206Z,western Xizang,earthquake,,,,,reviewed,us,hrv
1998-08-25T07:59:00.740Z,30.024,88.188,33,4.6,mb,,,,0.88,us,usp0008tub,2014-11-07T01:05:53.096Z,western Xizang,earthquake,,,,6,reviewed,us,us
1998-08-25T12:29:45.130Z,30.022,88.06,33,4.6,mb,,,,0.98,us,usp0008tux,2014-11-07T01:05:53.146Z,western Xizang,earthquake,,,,7,reviewed,us,us
1998-08-25T23:23:34.880Z,30.299,88.112,33,4.6,mb,,,,1.19,us,usp0008tw4,2014-11-07T01:05:53.289Z,western Xizang,earthquake,,,,2,reviewed,us,us
1998-08-28T22:01:55.790Z,30.191,88.15,33,5,mwc,,,,0.91,us,usp0008u0u,2016-11-09T23:21:22.458Z,western Xizang,earthquake,,,,,reviewed,us,hrv
1998-08-30T03:37:48.980Z,30.044,88.077,33,5,ms,,,,1.1,us,usp0008u2y,2014-11-07T01:05:54.514Z,western Xizang,earthquake,,,,1,reviewed,us,us
1998-08-30T04:11:35.070Z,30.034,88.081,33,4.6,mb,,,,1.09,us,usp0008u31,2014-11-07T01:05:54.527Z,western Xizang,earthquake,,,,30,reviewed,us,us
1998-09-03T18:15:56.560Z,27.85,86.941,33,5.6,mb,,,,0.98,us,usp0008uc8,2020-09-15T20:19:34.424Z,Nepal,earthquake,,,,137,reviewed,us,us
1998-09-03T23:02:28.330Z,27.6,86.733,33,4.6,mb,,,,0.73,us,usp0008ucq,2014-11-07T01:06:00.153Z,Nepal,earthquake,,,,28,reviewed,us,us
1998-09-06T21:35:49.470Z,27.859,86.895,33,4.6,mb,,,,1.04,us,usp0008uj0,2014-11-07T01:06:01.020Z,Nepal,earthquake,,,,18,reviewed,us,us
1998-09-07T10:44:39.060Z,30.27,88.129,33,4.7,mb,,,,1.13,us,usp0008ujr,2014-11-07T01:06:01.137Z,western Xizang,earthquake,,,,23,reviewed,us,us
1998-09-30T02:29:55.140Z,29.948,88.117,33,5.2,mwc,,,,1.18,us,usp0008vr9,2016-11-09T23:36:40.655Z,western Xizang,earthquake,,,,,reviewed,us,hrv
1998-11-26T10:14:27.630Z,27.753,87.894,73.1,5.1,mb,,,,0.76,us,usp0008ys2,2014-11-07T01:06:29.427Z,Nepal,earthquake,,,,102,reviewed,us,us
1998-12-01T05:35:09.200Z,27.935,87.649,33,4.8,mb,,,,0.88,us,usp0008z0r,2014-11-07T01:06:34.045Z,Nepal,earthquake,,,,12,reviewed,us,us
1999-03-19T05:53:40.650Z,27.748,85.609,33,4.5,mb,,,,1.09,us,usp00094sf,2014-11-07T01:07:14.949Z,Nepal,earthquake,,,,11,reviewed,us,us
1999-08-01T08:24:46.170Z,28.442,86.733,40.2,5.2,mb,,,,0.68,us,usp0009cdv,2014-11-07T01:08:11.461Z,western Xizang,earthquake,,6.8,,103,reviewed,us,us
1999-09-05T02:28:16.980Z,28.159,87.413,33,4.5,mb,,,,0.97,us,usp0009e17,2014-11-07T01:08:26.237Z,western Xizang,earthquake,,,,20,reviewed,us,us
1999-11-16T11:41:33.660Z,30.385,82.773,33,4.6,mb,,,,1.15,us,usp0009hq2,2014-11-07T01:08:58.419Z,western Xizang,earthquake,,,,13,reviewed,us,us
1999-12-01T13:56:43.750Z,30.024,81.444,33,4.5,mb,,,,1.43,us,usp0009jc5,2014-11-07T01:09:03.958Z,western Xizang,earthquake,,,,11,reviewed,us,us
2000-02-26T04:04:34.870Z,28.494,82.145,33,4.6,mb,,,,1.13,us,usp0009nzd,2014-11-07T01:09:33.842Z,Nepal,earthquake,,,,42,reviewed,us,us
2000-10-08T06:14:57.420Z,30.193,88.115,33,4.7,mb,53,,,1.31,us,usp000a1ep,2014-11-07T01:11:15.177Z,western Xizang,earthquake,,,,33,reviewed,us,us
2000-10-26T15:22:34.920Z,29.211,81.875,33,4.8,mb,58,,,0.99,us,usp000a2f5,2014-11-07T01:11:19.063Z,Nepal,earthquake,,,,28,reviewed,us,us
2001-04-03T23:08:35.920Z,27.801,86.127,33,4.6,mb,68,,,0.99,us,usp000ach7,2014-11-07T01:12:31.411Z,Nepal,earthquake,,,,21,reviewed,us,us
2001-04-12T22:08:51.540Z,29.94,88.114,33,4.6,mb,47,,,1.1,us,usp000ad48,2014-11-07T01:12:34.352Z,western Xizang,earthquake,,,,24,reviewed,us,us
2001-04-28T10:37:56.570Z,28.872,87.162,33,5.2,mb,260,,,0.86,us,usp000ae39,2014-11-07T01:12:38.818Z,western Xizang,earthquake,,,,135,reviewed,us,us
2001-04-29T10:39:05.170Z,28.912,87.222,33,4.7,mb,73,,,1,us,usp000ae5k,2014-11-07T01:12:39.277Z,western Xizang,earthquake,,,,33,reviewed,us,us
2001-07-16T16:12:46.750Z,27.957,85.178,33,5,mb,124,,,1,us,usp000ajnb,2020-09-18T18:27:41.004Z,Nepal,earthquake,,,,65,reviewed,us,us
2001-11-27T07:31:52.330Z,29.606,81.752,33,5.5,mwc,348,,,0.88,us,usp000atjx,2020-09-18T18:35:01.912Z,Nepal,earthquake,,,,,reviewed,us,hrv
2001-11-27T08:46:19.160Z,29.39,81.631,33,4.8,mb,32,,,0.89,us,usp000atk0,2014-11-07T01:14:19.280Z,Nepal,earthquake,,,,9,reviewed,us,us
2001-11-27T08:53:54.080Z,29.548,81.745,33,5.4,mwc,295,,,0.95,us,usp000atk2,2016-11-10T00:04:03.935Z,Nepal,earthquake,,,,,reviewed,us,hrv
2001-11-27T17:56:55.110Z,29.51,81.739,33,5.1,mb,148,,,1.13,us,usp000atkf,2014-11-07T01:14:19.346Z,Nepal,earthquake,,,,93,reviewed,us,us
2001-11-30T21:46:04.570Z,29.327,81.638,33,4.7,mb,37,,,0.81,us,usp000ats9,2014-11-07T01:14:20.335Z,Nepal,earthquake,,,,16,reviewed,us,us
2001-12-02T22:41:13.790Z,27.15,88.171,33,5.1,mb,147,,,0.95,us,usp000atwn,2014-11-07T01:14:24.740Z,"Sikkim, India",earthquake,,,,63,reviewed,us,us
2001-12-18T02:22:00.070Z,29.612,81.78,33,4.9,mb,64,,,0.86,us,usp000ausp,2014-11-07T01:14:29.636Z,Nepal,earthquake,,,,34,reviewed,us,us
2002-03-07T15:50:18.920Z,29.625,84.419,70,4.6,mb,16,,,0.88,us,usp000azw0,2014-11-07T01:15:05.714Z,western Xizang,earthquake,,12,,4,reviewed,us,us
2002-03-23T04:56:25.890Z,29.863,87.928,33,4.7,mb,61,,,1.03,us,usp000b0w4,2014-11-07T01:15:13.119Z,western Xizang,earthquake,,,,31,reviewed,us,us
2002-04-02T19:57:21.290Z,29.287,87.009,33,4.6,mb,16,,,1.14,us,usp000b1m8,2014-11-07T01:15:20.220Z,western Xizang,earthquake,,,,2,reviewed,us,us
2002-05-09T01:09:20.620Z,29.826,87.837,33.6,4.6,mb,37,,,1.12,us,usp000b3zs,2014-11-07T01:15:35.907Z,western Xizang,earthquake,,14,,19,reviewed,us,us
2002-07-09T03:08:05.280Z,29.889,87.995,33,4.7,mb,58,,,1.07,us,usp000b7sh,2014-11-07T01:16:02.004Z,western Xizang,earthquake,,,,27,reviewed,us,us
2002-08-06T23:30:01.020Z,29.912,87.87,33,4.6,mb,51,,,1.13,us,usp000b9ef,2014-11-07T01:16:13.932Z,western Xizang,earthquake,,,,34,reviewed,us,us
2002-08-22T04:50:14.270Z,29.818,88.087,38.5,4.5,mb,36,,,1.13,us,usp000bacy,2014-11-07T01:16:18.431Z,western Xizang,earthquake,,13.6,,18,reviewed,us,us
2002-08-31T12:40:35.370Z,29.871,87.878,33,5,mb,123,,,1.16,us,usp000bb00,2014-11-07T01:16:21.768Z,western Xizang,earthquake,,,,82,reviewed,us,us
2003-01-16T11:36:49.140Z,29.8,88.006,12.2,5.1,mb,115,,,0.83,us,usp000bnnc,2014-11-07T01:17:35.850Z,western Xizang,earthquake,,,,63,reviewed,us,us
2003-02-26T19:58:13.150Z,28.347,86.449,33,4.6,mb,15,,,0.46,us,usp000brj5,2014-11-07T01:17:52.666Z,western Xizang,earthquake,,,,5,reviewed,us,us
2003-08-20T03:34:54.190Z,30.169,82.219,33,4.6,mb,33,110,,0.54,us,usp000c5dy,2014-11-07T01:19:33.285Z,western Xizang,earthquake,,,,16,reviewed,us,us
2003-09-29T13:40:30.450Z,27.358,87.738,33,4.6,mb,35,97.1,,0.68,us,usp000c927,2014-11-07T01:19:59.493Z,Nepal,earthquake,,,,15,reviewed,us,us
2004-01-03T13:14:28.680Z,27.739,85.931,17.1,4.9,mb,83,80.7,,0.68,us,usp000cgyy,2014-11-07T01:20:57.875Z,Nepal,earthquake,,14.8,,33,reviewed,us,us
2004-02-18T01:23:43.820Z,27.361,87.758,20.7,4.7,mb,40,88.3,,0.55,us,usp000cmew,2014-11-07T01:21:22.123Z,Nepal,earthquake,,14.4,,12,reviewed,us,us
